Year,Age,Female,Male,Total
2015,0,0.005386,0.006404,0.005907
2015,1,0.00035,0.000452,0.000402
2015,2,0.000228,0.000277,0.000253
2015,3,0.000163,0.000228,0.000196
2015,4,0.000127,0.000167,0.000147
2015,5,0.000113,0.000157,0.000136
2015,6,0.000118,0.000137,0.000128
2015,7,0.000102,0.000114,0.000108
2015,8,9.60E-05,0.000126,0.000111
2015,9,8.30E-05,0.000125,0.000104
2015,10,8.30E-05,0.00013,0.000107
2015,11,9.80E-05,0.000127,0.000113
2015,12,0.000112,0.00014,0.000126
2015,13,0.000145,0.000188,0.000167
2015,14,0.000172,0.000257,0.000215
2015,15,0.000179,0.000336,0.000259
2015,16,0.000237,0.000461,0.000351
2015,17,0.000278,0.000658,0.000472
2015,18,0.000361,0.000853,0.000613
2015,19,0.000401,0.001021,0.000718
2015,20,0.000409,0.001119,0.000773
2015,21,0.00046,0.001251,0.000867
2015,22,0.000464,0.001344,0.000917
2015,23,0.000481,0.001367,0.000935
2015,24,0.000514,0.001425,0.000979
2015,25,0.000558,0.001452,0.001014
2015,26,0.000562,0.001422,0.000999
2015,27,0.000609,0.001516,0.00107
2015,28,0.000644,0.001517,0.001087
2015,29,0.000677,0.001634,0.001162
2015,30,0.000739,0.001585,0.001167
2015,31,0.000768,0.001652,0.001213
2015,32,0.000856,0.001719,0.001289
2015,33,0.000893,0.001766,0.001331
2015,34,0.000924,0.001825,0.001375
2015,35,0.000964,0.001874,0.00142
2015,36,0.001081,0.001898,0.00149
2015,37,0.001096,0.002006,0.00155
2015,38,0.001192,0.002043,0.001616
2015,39,0.001187,0.002131,0.001657
2015,40,0.001315,0.002184,0.001747
2015,41,0.001452,0.002358,0.001902
2015,42,0.001594,0.002518,0.002052
2015,43,0.00169,0.002665,0.002173
2015,44,0.001866,0.002933,0.002395
2015,45,0.002023,0.003103,0.002559
2015,46,0.002201,0.003422,0.002807
2015,47,0.002383,0.003675,0.003023
2015,48,0.00267,0.004042,0.003349
2015,49,0.002884,0.00456,0.003712
2015,50,0.003191,0.005002,0.004085
2015,51,0.003465,0.005547,0.00449
2015,52,0.003834,0.006016,0.004905
2015,53,0.004152,0.006627,0.005364
2015,54,0.004428,0.007246,0.005806
2015,55,0.004761,0.007815,0.006253
2015,56,0.005207,0.008424,0.006775
2015,57,0.005611,0.009281,0.007395
2015,58,0.006018,0.009894,0.007895
2015,59,0.006335,0.01065,0.008418
2015,60,0.00669,0.011437,0.008974
2015,61,0.007239,0.012304,0.009666
2015,62,0.007893,0.013258,0.010456
2015,63,0.008488,0.014564,0.011384
2015,64,0.009008,0.014962,0.011838
2015,65,0.009703,0.015951,0.012667
2015,66,0.010566,0.016956,0.013593
2015,67,0.011634,0.018116,0.0147
2015,68,0.012536,0.019309,0.015732
2015,69,0.013947,0.021173,0.01734
2015,70,0.01527,0.022748,0.018758
2015,71,0.016976,0.025577,0.020967
2015,72,0.018954,0.02754,0.022917
2015,73,0.020528,0.030098,0.024913
2015,74,0.022088,0.03239,0.026767
2015,75,0.024784,0.035691,0.029707
2015,76,0.027128,0.038899,0.032412
2015,77,0.030446,0.042894,0.035982
2015,78,0.033322,0.046774,0.039238
2015,79,0.0375,0.05153,0.043595
2015,80,0.042016,0.057675,0.048727
2015,81,0.046,0.064304,0.053735
2015,82,0.052439,0.070405,0.059911
2015,83,0.058525,0.078339,0.066618
2015,84,0.065172,0.087355,0.074051
2015,85,0.073238,0.096102,0.08219
2015,86,0.08133,0.105998,0.090754
2015,87,0.093389,0.121866,0.103968
2015,88,0.104534,0.133815,0.115093
2015,89,0.114518,0.142473,0.124341
2015,90,0.12893,0.155109,0.137872
2015,91,0.144434,0.174045,0.154177
2015,92,0.161847,0.195261,0.172393
2015,93,0.182758,0.220508,0.1941
2015,94,0.200842,0.242098,0.212654
2015,95,0.232166,0.274958,0.243752
2015,96,0.2482,0.291285,0.259087
2015,97,0.276362,0.324823,0.287781
2015,98,0.307723,0.347214,0.316429
2015,99,0.328412,0.380988,0.339149
2015,100,0.355657,0.418053,0.367247
2015,101,0.39344,0.455799,0.403814
2015,102,0.429128,0.455559,0.433155
2015,103,0.439938,0.518697,0.45082
2015,104,0.470158,0.535941,0.478415
2015,105,0.509963,0.512091,0.510196
2015,106,0.544242,0.56816,0.546701
2015,107,0.567048,0.621014,0.572293
2015,108,0.559371,0.511677,0.555032
2015,109,0.541174,0.671391,0.553402
2015,110,0.587413,0.3861,0.56768